customerID,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,support_calls,num_products,autopay,senior_citizen,gender,partner,dependents,paperless_billing,churn,tenure_bucket,high_monthly_flag,support_per_month,churn_label,tenure,monthly_charges,contract,payment_method,internet_service,support_calls,num_products,autopay,senior_citizen,gender,partner,dependents,paperless_billing,tenure_bucket,high_monthly_flag,support_per_month,actual_churn,pred_proba_rf,pred_proba_lr,pred_rf,pred_lr,revenue_loss_estimate
CUST100000,5,101.8,539.69,Month-to-month,Mailed check,Fiber optic,0,1,1,0,Male,1,0,0,0,04-Jun,1,0.0,No,3.0,80.03,One year,Electronic check,No,0.0,2.0,1.0,0.0,Female,0.0,0.0,1.0,0-3,0.0,0.0,0.0,0.15,0.1476696124590222,0.0,0.0,36.0135
CUST100001,36,88.51,3205.13,Month-to-month,Bank transfer,Fiber optic,1,2,0,0,Female,1,1,1,0,25-60,0,0.027777778,No,7.0,10.93,Month-to-month,Credit card,DSL,0.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,7-12,0.0,0.0,0.0,0.02,0.0364445319384075,0.0,0.0,0.6557999999999999
CUST100002,15,90.51,1366.03,Two year,Bank transfer,Fiber optic,1,2,0,0,Female,1,1,0,0,13-24,1,0.066666667,No,1.0,95.4,One year,Bank transfer,DSL,0.0,1.0,0.0,0.0,Female,1.0,0.0,1.0,0-3,1.0,0.0,0.0,0.31,0.4229502184997595,0.0,0.0,88.72200000000001
CUST100003,10,29.02,348.31,One year,Electronic check,Fiber optic,1,1,1,0,Male,0,0,1,0,07-Dec,0,0.1,No,31.0,73.28,Month-to-month,Credit card,DSL,0.0,1.0,1.0,0.0,Female,1.0,0.0,0.0,25-60,0.0,0.0,0.0,0.07,0.1225916938779103,0.0,0.0,15.388800000000003
CUST100004,2,106.36,185.74,Month-to-month,Electronic check,DSL,0,2,0,0,Male,1,0,0,0,0-3,1,0.0,No,5.0,94.56,Two year,Credit card,No,2.0,1.0,0.0,0.0,Male,0.0,0.0,1.0,4-6,1.0,0.4,1.0,0.28,0.4331902882147718,0.0,0.0,79.43040000000002
CUST100005,2,77.84,200.43,One year,Credit card,Fiber optic,0,1,1,0,Male,0,0,1,0,0-3,0,0.0,No,2.0,90.44,Month-to-month,Bank transfer,Fiber optic,1.0,1.0,1.0,0.0,Male,0.0,0.0,1.0,0-3,1.0,0.5,0.0,0.53,0.3969293483202598,1.0,0.0,143.7996
CUST100006,0,58.92,-81.6,Month-to-month,Mailed check,Fiber optic,1,1,1,0,Male,1,1,1,0,0-3,0,1.0,No,1.0,98.54,One year,Credit card,DSL,0.0,1.0,1.0,0.0,Female,1.0,1.0,1.0,0-3,1.0,0.0,0.0,0.46,0.3211028372299833,0.0,0.0,135.98520000000002
CUST100007,24,74.3,1737.95,Month-to-month,Mailed check,DSL,0,2,0,0,Male,0,0,0,1,13-24,0,0.0,Yes,3.0,61.94,Two year,Credit card,Fiber optic,2.0,2.0,0.0,0.0,Male,1.0,1.0,1.0,0-3,0.0,0.6666666666666666,1.0,0.26,0.2641792634845518,0.0,0.0,48.3132
CUST100008,11,16.71,93.46,Month-to-month,Bank transfer,Fiber optic,1,2,1,0,Female,0,0,0,0,07-Dec,0,0.090909091,No,21.0,70.9,Month-to-month,Electronic check,Fiber optic,2.0,1.0,0.0,0.0,Female,0.0,0.0,1.0,13-24,0.0,0.0952380952380952,1.0,0.11,0.3399555386820946,0.0,0.0,23.397
CUST100009,14,82.26,1137.9,Month-to-month,Bank transfer,DSL,0,1,0,1,Male,0,0,0,0,13-24,0,0.0,No,18.0,84.0,Month-to-month,Mailed check,No,2.0,2.0,1.0,0.0,Male,0.0,0.0,1.0,13-24,0.0,0.1111111111111111,0.0,0.23,0.2194115181025419,0.0,0.0,57.96
